transaction_id,amount,payment_method,bank,failure_reason,hour_of_day,is_repeat_customer,previous_failed_attempts,retry_successful
txn_00033,705.76,UPI,Axis,insufficient_funds,0,0,1,0
txn_00034,587.49,UPI,HDFC,network_error,20,1,3,0
txn_00035,1394.57,UPI,PNB,otp_timeout,2,0,1,0
txn_00036,1255.28,Card,Yes Bank,bank_server_down,22,0,1,1
txn_00037,225.83,Card,HDFC,card_declined,10,1,1,0
txn_00038,319.59,UPI,ICICI,otp_timeout,6,1,1,0
txn_00039,808.63,Card,Yes Bank,bank_server_down,18,0,0,0
txn_00040,6732.21,Card,Yes Bank,otp_timeout,21,1,0,1
txn_00041,102.79,Netbanking,Yes Bank,insufficient_funds,4,1,1,0
txn_00042,696.15,Card,Axis,insufficient_funds,14,1,0,0
txn_00043,346.68,Wallet,ICICI,network_error,18,1,0,1
txn_00044,307.41,UPI,Kotak,bank_server_down,0,1,0,0
txn_00045,3502.74,UPI,Kotak,otp_timeout,0,1,1,1
txn_00046,320.3,Card,PNB,otp_timeout,4,0,0,1
txn_00047,184.95,UPI,Yes Bank,bank_server_down,19,0,0,1
txn_00048,5503.35,Netbanking,Axis,bank_server_down,9,1,2,0
txn_00049,404.07,UPI,SBI,bank_server_down,0,1,1,0
txn_00050,938.3,Netbanking,ICICI,bank_server_down,19,1,0,1
txn_00051,1679.47,UPI,SBI,insufficient_funds,4,1,2,0
txn_00052,385.66,UPI,Kotak,otp_timeout,18,1,0,1
txn_00053,187.28,UPI,ICICI,bank_server_down,1,0,0,1
txn_00054,607.85,UPI,SBI,otp_timeout,3,0,1,0
txn_00055,401.06,Wallet,Axis,network_error,16,1,0,0
txn_00056,1518.41,Netbanking,HDFC,insufficient_funds,8,0,1,0
txn_00057,1500.43,UPI,Kotak,insufficient_funds,18,0,0,1
txn_00058,4502.18,UPI,PNB,network_error,20,0,1,1
txn_00059,1929.91,UPI,Kotak,insufficient_funds,15,1,0,0
txn_00060,1763.61,UPI,PNB,bank_server_down,10,1,3,0
txn_00061,574.18,Netbanking,HDFC,bank_server_down,5,0,1,0
txn_00062,2109.81,Netbanking,ICICI,session_timeout,6,1,1,0
txn_00063,412.66,UPI,Kotak,network_error,21,1,0,1
txn_00064,2817.9,UPI,Kotak,otp_timeout,19,0,0,0
txn_00065,98.01,Card,Kotak,bank_server_down,16,0,1,0
txn_00066,832.22,Netbanking,Kotak,bank_server_down,4,0,1,0
txn_00067,673.57,UPI,HDFC,bank_server_down,14,1,1,0
txn_00068,595.3,Netbanking,HDFC,insufficient_funds,20,0,0,0
txn_00069,1765.71,UPI,ICICI,network_error,4,1,3,1
txn_00070,1177.73,UPI,HDFC,otp_timeout,12,1,2,1
txn_00071,1755.53,Card,PNB,card_declined,1,0,2,0
txn_00072,893.8,UPI,HDFC,bank_server_down,21,1,1,0
txn_00073,221.99,UPI,PNB,otp_timeout,20,0,2,1
txn_00074,3029.74,Wallet,Yes Bank,insufficient_funds,4,1,0,0
txn_00075,909.1,UPI,HDFC,insufficient_funds,12,1,0,0
txn_00076,927.33,Card,Axis,otp_timeout,1,1,2,1
txn_00077,314.67,Netbanking,Axis,bank_server_down,16,0,0,1
txn_00078,431.1,Card,ICICI,otp_timeout,1,0,1,1
txn_00079,472.34,UPI,PNB,bank_server_down,19,1,0,1
txn_00080,1752.2,UPI,ICICI,insufficient_funds,9,1,0,0
txn_00081,1268.68,UPI,ICICI,bank_server_down,20,0,0,0
txn_00082,6918.64,UPI,PNB,otp_timeout,10,0,1,0
txn_00083,221.0,UPI,SBI,network_error,2,1,3,0
txn_00084,184.88,UPI,Kotak,otp_timeout,21,0,0,1
txn_00085,180.98,UPI,ICICI,otp_timeout,13,0,0,1
txn_00086,195.18,UPI,Yes Bank,insufficient_funds,15,0,0,1
txn_00087,693.44,Card,Kotak,bank_server_down,14,1,2,0
txn_00088,516.5,Card,Yes Bank,bank_server_down,23,0,1,1
txn_00089,755.54,Card,Axis,card_declined,17,1,1,0
txn_00090,348.43,UPI,Kotak,network_error,11,0,0,1
txn_00091,225.53,UPI,HDFC,otp_timeout,17,0,1,0
txn_00092,451.21,Card,HDFC,bank_server_down,5,1,1,0
txn_00093,340.9,UPI,Yes Bank,otp_timeout,0,0,0,1
txn_00094,791.53,UPI,Yes Bank,insufficient_funds,10,1,2,0
txn_00095,1648.91,UPI,SBI,bank_server_down,1,1,1,0
txn_00096,310.05,Card,Yes Bank,insufficient_funds,0,1,1,0
txn_00097,109.41,Card,Yes Bank,card_declined,10,1,0,1
txn_00098,1819.46,UPI,ICICI,otp_timeout,0,0,0,1
txn_00099,373.57,UPI,Yes Bank,insufficient_funds,2,0,2,0
txn_00100,788.18,Wallet,Yes Bank,insufficient_funds,11,0,2,0
txn_00101,727.34,UPI,Kotak,network_error,10,1,0,1
txn_00102,888.71,UPI,Kotak,insufficient_funds,3,0,1,0
txn_00103,5299.68,UPI,Yes Bank,network_error,18,1,1,1
txn_00104,1321.91,Card,HDFC,card_declined,20,1,1,0
txn_00105,64.1,Netbanking,PNB,insufficient_funds,7,1,0,1
txn_00106,1522.57,UPI,Yes Bank,insufficient_funds,22,0,0,0
txn_00107,1826.02,UPI,ICICI,otp_timeout,21,1,0,0
txn_00108,240.18,UPI,PNB,otp_timeout,3,1,1,0
txn_00109,13045.48,Card,Axis,insufficient_funds,10,1,2,0
txn_00110,124.03,UPI,Yes Bank,network_error,10,0,1,0
txn_00111,363.19,Card,PNB,bank_server_down,10,1,1,0
txn_00112,364.07,Netbanking,PNB,session_timeout,8,1,1,1
txn_00113,2445.12,Netbanking,PNB,bank_server_down,13,0,0,0
txn_00114,231.68,Netbanking,HDFC,insufficient_funds,14,0,0,0
txn_00115,320.71,Netbanking,Kotak,session_timeout,8,0,0,1
txn_00116,1541.52,Netbanking,PNB,session_timeout,10,0,2,0
txn_00117,640.03,Card,Axis,insufficient_funds,20,1,0,0
txn_00118,240.52,Card,Axis,insufficient_funds,19,1,1,0
txn_00119,1115.07,UPI,HDFC,insufficient_funds,0,0,0,0
txn_00120,6351.74,Card,Yes Bank,bank_server_down,15,1,0,1
txn_00121,374.81,UPI,ICICI,bank_server_down,16,1,1,0
txn_00122,572.56,UPI,Kotak,insufficient_funds,9,1,1,0
txn_00123,1127.51,Wallet,ICICI,insufficient_funds,7,0,0,0
txn_00124,734.17,Card,Kotak,bank_server_down,2,1,1,1
txn_00125,583.86,Netbanking,Yes Bank,session_timeout,10,1,2,0
txn_00126,837.94,UPI,PNB,network_error,0,0,0,1
txn_00127,325.06,Card,Axis,insufficient_funds,1,1,1,0
txn_00128,2175.93,Netbanking,SBI,insufficient_funds,8,1,0,1
txn_00129,340.35,Card,HDFC,insufficient_funds,23,1,0,0
txn_00130,1587.22,UPI,HDFC,bank_server_down,6,0,1,0
txn_00131,1914.33,UPI,Kotak,otp_timeout,1,0,0,0
txn_00132,1000.5,UPI,Axis,otp_timeout,5,1,0,1
txn_00133,121.2,UPI,HDFC,insufficient_funds,5,1,0,0
txn_00134,481.42,UPI,ICICI,otp_timeout,13,0,0,0
txn_00135,2086.13,UPI,Axis,insufficient_funds,20,1,0,1
txn_00136,5331.11,Card,SBI,insufficient_funds,21,0,0,0
txn_00137,490.51,UPI,SBI,insufficient_funds,19,0,0,0
txn_00138,642.27,UPI,ICICI,bank_server_down,10,1,0,0
txn_00139,3908.08,UPI,Axis,network_error,18,0,1,1
txn_00140,177.8,UPI,SBI,otp_timeout,15,1,1,0
txn_00141,530.47,Card,Yes Bank,bank_server_down,5,1,2,0
txn_00142,487.68,Card,HDFC,card_declined,15,1,0,0
txn_00143,746.72,Netbanking,Yes Bank,insufficient_funds,20,1,0,0
txn_00144,2582.81,UPI,Kotak,bank_server_down,6,0,1,0
txn_00145,44.15,UPI,ICICI,insufficient_funds,4,1,0,0
txn_00146,347.03,Card,HDFC,bank_server_down,17,1,0,1
txn_00147,1888.51,UPI,SBI,bank_server_down,1,0,2,0
txn_00148,396.51,Netbanking,SBI,insufficient_funds,20,1,1,0
txn_00149,2722.61,UPI,Yes Bank,otp_timeout,6,1,1,1
txn_00150,243.68,UPI,Yes Bank,bank_server_down,15,0,3,0
txn_00151,308.65,UPI,Axis,network_error,4,1,0,1
txn_00152,603.59,Netbanking,Yes Bank,insufficient_funds,7,1,1,0
txn_00153,702.27,UPI,ICICI,insufficient_funds,1,0,0,1
txn_00154,190.72,Netbanking,Kotak,bank_server_down,8,1,3,0
txn_00155,1177.89,UPI,ICICI,bank_server_down,16,0,2,0
txn_00156,3125.99,UPI,PNB,otp_timeout,1,1,0,1
txn_00157,4007.32,UPI,SBI,otp_timeout,1,1,2,0
txn_00158,115.75,Card,SBI,insufficient_funds,7,1,0,0
txn_00159,189.17,Wallet,Kotak,network_error,4,1,0,0
txn_00160,4294.13,UPI,SBI,bank_server_down,7,1,0,1
txn_00161,1510.93,Card,Axis,card_declined,15,1,2,1
txn_00162,347.52,Card,PNB,otp_timeout,10,1,0,0
txn_00163,1075.52,UPI,SBI,otp_timeout,6,0,2,1
txn_00164,1506.81,UPI,PNB,bank_server_down,16,1,0,0
txn_00165,150.0,UPI,Kotak,insufficient_funds,15,0,1,0
txn_00166,1221.58,Wallet,PNB,network_error,21,1,1,1
txn_00167,801.6,UPI,HDFC,network_error,21,1,0,1
txn_00168,5016.07,UPI,ICICI,bank_server_down,19,1,0,0
txn_00169,317.39,UPI,PNB,network_error,18,0,0,1
txn_00170,2437.33,UPI,Axis,otp_timeout,10,0,0,0
txn_00171,740.76,Card,SBI,otp_timeout,16,1,0,1
txn_00172,104.92,Netbanking,Kotak,insufficient_funds,5,0,0,0
txn_00173,377.41,Card,Axis,insufficient_funds,14,1,1,0
txn_00174,567.56,UPI,Kotak,otp_timeout,17,1,1,1
txn_00175,203.03,UPI,Axis,bank_server_down,2,0,0,0
txn_00176,958.63,Card,Yes Bank,bank_server_down,15,1,0,1
txn_00177,137.04,UPI,SBI,network_error,12,0,0,0
txn_00178,1638.97,UPI,PNB,insufficient_funds,0,1,2,0
txn_00179,2379.58,Card,HDFC,card_declined,11,1,0,0
txn_00180,533.27,Card,Axis,card_declined,0,1,0,1
txn_00181,683.27,UPI,Axis,bank_server_down,21,0,3,0
txn_00182,736.39,Card,PNB,insufficient_funds,7,1,1,0
txn_00183,505.71,Netbanking,PNB,insufficient_funds,8,1,2,0
txn_00184,745.86,Netbanking,Yes Bank,insufficient_funds,21,1,1,0
txn_00185,1720.11,Card,SBI,insufficient_funds,21,1,1,0
txn_00186,3538.72,Card,SBI,otp_timeout,22,1,0,1
txn_00187,542.38,UPI,SBI,bank_server_down,4,1,3,0
txn_00188,514.21,UPI,SBI,otp_timeout,20,1,1,1
txn_00189,125.39,UPI,Axis,bank_server_down,19,1,1,0
txn_00190,3192.98,Card,ICICI,card_declined,14,1,0,1
txn_00191,142.09,Card,Yes Bank,card_declined,11,0,0,1
txn_00192,3487.67,UPI,ICICI,network_error,9,0,3,0
txn_00193,142.53,Netbanking,Kotak,bank_server_down,21,1,0,0
txn_00194,462.92,UPI,ICICI,insufficient_funds,1,1,0,0
txn_00195,217.09,Card,Axis,card_declined,22,1,0,1
txn_00196,1801.31,UPI,ICICI,otp_timeout,0,1,1,0
txn_00197,405.96,UPI,Yes Bank,network_error,10,1,1,1
txn_00198,491.12,Netbanking,Axis,insufficient_funds,19,0,0,0
txn_00199,972.36,Netbanking,Kotak,bank_server_down,22,0,0,0
txn_00200,275.58,UPI,SBI,bank_server_down,17,1,0,1
txn_00201,3347.46,Card,HDFC,otp_timeout,23,1,0,1
txn_00202,319.68,UPI,Yes Bank,otp_timeout,20,0,1,0
txn_00203,1102.6,Netbanking,Yes Bank,insufficient_funds,1,1,3,0
txn_00204,799.33,UPI,ICICI,otp_timeout,16,0,2,1
txn_00205,785.85,Card,SBI,otp_timeout,15,1,1,1
txn_00206,132.49,UPI,ICICI,bank_server_down,0,1,2,0
txn_00207,1687.51,Card,HDFC,otp_timeout,3,1,1,0
txn_00208,462.11,UPI,ICICI,bank_server_down,12,1,0,0
txn_00209,1412.16,UPI,PNB,otp_timeout,11,1,1,1
txn_00210,77.38,UPI,HDFC,otp_timeout,5,0,1,0
txn_00211,3898.31,Card,Yes Bank,card_declined,2,1,3,1
txn_00212,130.23,Netbanking,Kotak,session_timeout,3,1,1,1
txn_00213,789.16,Card,SBI,otp_timeout,12,1,0,0
txn_00214,203.02,UPI,PNB,otp_timeout,3,1,0,1
txn_00215,3073.99,UPI,Kotak,network_error,13,0,2,0
txn_00216,247.24,UPI,Axis,bank_server_down,3,1,1,0
txn_00217,1704.06,Netbanking,PNB,bank_server_down,6,0,1,0
txn_00218,832.07,Netbanking,Axis,session_timeout,23,1,0,1
txn_00219,2602.27,Card,Kotak,insufficient_funds,8,1,1,0
txn_00220,913.01,UPI,ICICI,network_error,4,0,1,0
txn_00221,3009.9,Card,HDFC,insufficient_funds,18,1,0,0
txn_00222,466.8,UPI,SBI,network_error,16,0,0,1
txn_00223,1046.85,UPI,SBI,bank_server_down,8,0,1,0
txn_00224,297.77,Wallet,SBI,insufficient_funds,21,1,1,0
txn_00225,3425.89,UPI,Yes Bank,insufficient_funds,3,1,1,0
txn_00226,130.13,UPI,Kotak,otp_timeout,0,0,0,1
txn_00227,3232.32,UPI,ICICI,network_error,4,0,1,1
txn_00228,519.82,Card,SBI,insufficient_funds,21,1,3,0
txn_00229,142.87,Card,ICICI,otp_timeout,19,0,1,1
txn_00230,787.89,UPI,PNB,insufficient_funds,22,1,0,0
txn_00231,161.79,Card,Yes Bank,card_declined,22,0,0,1
txn_00232,717.08,Netbanking,Axis,bank_server_down,5,0,1,1
txn_00233,2268.9,Card,Axis,insufficient_funds,19,1,0,0
txn_00234,106.04,UPI,ICICI,otp_timeout,19,0,2,1
txn_00235,1105.43,UPI,Yes Bank,insufficient_funds,14,1,2,0
txn_00236,428.98,Netbanking,ICICI,session_timeout,23,1,1,0
txn_00237,2135.17,UPI,Yes Bank,otp_timeout,14,1,0,1
txn_00238,1970.21,UPI,Axis,bank_server_down,21,0,1,0
txn_00239,1069.23,Netbanking,Yes Bank,bank_server_down,19,1,0,0
txn_00240,136.83,UPI,Kotak,bank_server_down,12,1,3,0
txn_00241,689.6,UPI,Yes Bank,network_error,17,0,2,0
txn_00242,179.06,UPI,ICICI,network_error,4,1,0,1
txn_00243,139.4,Wallet,Kotak,insufficient_funds,23,0,0,0
txn_00244,308.04,UPI,Axis,bank_server_down,15,0,1,1
txn_00245,379.76,Netbanking,PNB,bank_server_down,19,1,2,0
txn_00246,186.27,Card,PNB,insufficient_funds,21,1,1,0
txn_00247,2553.97,UPI,ICICI,bank_server_down,20,0,0,1
txn_00248,246.14,UPI,PNB,otp_timeout,10,1,2,0
txn_00249,644.88,UPI,Axis,bank_server_down,19,0,1,1
txn_00250,1090.72,Card,Kotak,insufficient_funds,16,1,1,0
txn_00251,591.9,Card,Axis,bank_server_down,0,1,0,1
txn_00252,1397.02,UPI,SBI,insufficient_funds,7,0,2,0
txn_00253,897.21,Netbanking,Kotak,bank_server_down,22,1,0,0
txn_00254,172.93,Card,Kotak,otp_timeout,10,1,2,1
txn_00255,251.74,UPI,ICICI,otp_timeout,4,1,1,1
txn_00256,1800.91,UPI,Axis,otp_timeout,8,0,0,1
txn_00257,312.06,Card,Yes Bank,card_declined,8,1,0,0
txn_00258,242.11,UPI,Axis,network_error,12,1,1,0
txn_00259,621.92,Card,SBI,insufficient_funds,14,0,1,0
txn_00260,218.22,UPI,Yes Bank,network_error,19,0,0,1
txn_00261,459.91,Netbanking,Kotak,insufficient_funds,22,1,0,0
txn_00262,182.44,Card,Yes Bank,card_declined,10,0,1,0
txn_00263,840.62,UPI,Kotak,bank_server_down,1,0,1,1
txn_00264,1090.56,UPI,SBI,insufficient_funds,10,1,1,0
txn_00265,1371.44,UPI,PNB,otp_timeout,6,1,2,1
txn_00266,1207.91,UPI,ICICI,network_error,2,1,0,1
txn_00267,1435.88,Netbanking,SBI,bank_server_down,9,1,2,0
txn_00268,581.72,Card,Kotak,card_declined,21,1,0,1
txn_00269,674.98,Card,Axis,otp_timeout,15,0,0,0
txn_00270,3740.46,Wallet,Axis,insufficient_funds,23,0,0,0
txn_00271,446.02,UPI,PNB,otp_timeout,9,1,0,0
txn_00272,6089.08,UPI,PNB,insufficient_funds,23,0,0,0
txn_00273,494.72,UPI,ICICI,bank_server_down,17,1,0,0
txn_00274,1934.49,Card,SBI,insufficient_funds,5,0,2,0
txn_00275,1553.6,UPI,Yes Bank,insufficient_funds,16,1,0,0
txn_00276,238.84,Card,SBI,otp_timeout,3,1,0,1
txn_00277,4247.53,Wallet,Axis,insufficient_funds,6,1,1,0
txn_00278,392.38,UPI,ICICI,insufficient_funds,16,1,1,0
txn_00279,1438.62,Netbanking,ICICI,insufficient_funds,4,1,0,1
txn_00280,647.09,UPI,Kotak,network_error,0,1,0,1
txn_00281,3913.75,UPI,Axis,network_error,19,1,3,0
txn_00282,276.45,UPI,Yes Bank,bank_server_down,13,0,0,1
txn_00283,290.94,UPI,Kotak,bank_server_down,11,0,2,0
txn_00284,178.8,Card,SBI,card_declined,6,0,0,1
txn_00285,222.45,UPI,PNB,network_error,6,0,2,1
txn_00286,287.8,Card,Kotak,insufficient_funds,16,1,3,0
txn_00287,1225.14,UPI,HDFC,otp_timeout,17,1,0,1
txn_00288,1829.99,Card,HDFC,card_declined,6,1,1,0
txn_00289,67.75,UPI,HDFC,bank_server_down,20,0,1,0
txn_00290,286.4,UPI,SBI,otp_timeout,14,1,2,1
txn_00291,1813.57,UPI,PNB,otp_timeout,6,1,1,0
txn_00292,951.1,Card,PNB,bank_server_down,19,1,0,0
txn_00293,287.92,Wallet,ICICI,insufficient_funds,1,0,0,1
txn_00294,896.73,UPI,Axis,insufficient_funds,17,0,0,0
txn_00295,313.63,UPI,Axis,network_error,8,1,1,0
txn_00296,42.11,UPI,Yes Bank,network_error,5,1,0,0
txn_00297,1926.34,Netbanking,ICICI,insufficient_funds,7,1,1,0
txn_00298,544.83,UPI,Axis,network_error,5,1,2,0
txn_00299,207.85,Card,PNB,bank_server_down,0,1,3,0
txn_00300,551.62,Card,Axis,bank_server_down,22,0,1,0
txn_00301,1782.42,UPI,Axis,bank_server_down,4,1,0,0
txn_00302,877.18,Netbanking,Yes Bank,insufficient_funds,8,0,0,1
txn_00303,1383.18,UPI,ICICI,network_error,20,0,0,0
txn_00304,303.68,UPI,ICICI,otp_timeout,10,1,1,1
txn_00305,1222.48,Netbanking,SBI,session_timeout,14,0,0,1
txn_00306,1063.75,UPI,SBI,network_error,0,1,0,1
txn_00307,243.09,Card,HDFC,otp_timeout,5,0,0,0
txn_00308,545.26,UPI,Axis,bank_server_down,8,1,1,0
txn_00309,897.99,Netbanking,SBI,insufficient_funds,22,0,0,0
txn_00310,524.12,UPI,Kotak,network_error,13,1,0,1
txn_00311,241.35,UPI,Yes Bank,insufficient_funds,21,1,0,1
txn_00312,261.01,Card,HDFC,bank_server_down,22,1,1,0
txn_00313,1970.38,UPI,Kotak,otp_timeout,3,0,0,1
txn_00314,133.44,UPI,HDFC,bank_server_down,13,1,0,1
txn_00315,1449.88,Netbanking,HDFC,bank_server_down,13,0,3,0
txn_00316,380.65,UPI,Yes Bank,otp_timeout,10,1,2,0
txn_00317,122.47,UPI,Axis,otp_timeout,2,1,1,1
txn_00318,216.93,UPI,SBI,otp_timeout,18,1,0,1
txn_00319,595.89,Card,Axis,card_declined,18,0,1,0
txn_00320,1016.62,UPI,Kotak,insufficient_funds,1,1,3,0
txn_00321,767.65,UPI,Yes Bank,otp_timeout,17,0,0,1
txn_00322,162.99,UPI,Axis,bank_server_down,2,1,0,1
txn_00323,612.1,UPI,HDFC,bank_server_down,16,0,0,0
txn_00324,1075.08,UPI,Kotak,otp_timeout,10,0,0,0
txn_00325,10207.39,UPI,HDFC,network_error,20,0,1,1
txn_00326,327.53,UPI,SBI,bank_server_down,11,1,2,0
txn_00327,146.39,UPI,Kotak,network_error,0,1,3,1
txn_00328,768.83,UPI,SBI,bank_server_down,17,0,1,1
txn_00329,359.68,Card,Kotak,otp_timeout,14,1,1,1
txn_00330,787.34,UPI,PNB,otp_timeout,8,1,2,0
txn_00331,1034.78,UPI,SBI,bank_server_down,8,1,2,0
txn_00332,705.11,UPI,ICICI,otp_timeout,7,1,1,1
txn_00333,315.83,UPI,PNB,otp_timeout,14,0,0,1
txn_00334,1753.65,UPI,PNB,network_error,21,1,0,1
txn_00335,1019.63,UPI,Yes Bank,bank_server_down,11,1,2,0
txn_00336,1470.69,Netbanking,PNB,insufficient_funds,21,1,1,0
txn_00337,115.75,UPI,Kotak,insufficient_funds,3,0,1,1
txn_00338,2377.11,UPI,ICICI,network_error,10,0,1,1
txn_00339,404.13,UPI,Axis,network_error,11,1,0,1
txn_00340,684.0,Wallet,Yes Bank,network_error,12,0,0,1
txn_00341,1010.49,UPI,ICICI,insufficient_funds,17,0,0,0
txn_00342,163.41,UPI,ICICI,otp_timeout,2,1,1,0
txn_00343,155.53,Wallet,Kotak,insufficient_funds,14,0,0,1
txn_00344,9255.05,Card,Kotak,card_declined,12,1,2,0
txn_00345,109.33,UPI,Kotak,insufficient_funds,16,1,1,0
txn_00346,891.82,Netbanking,Axis,insufficient_funds,2,0,2,0
txn_00347,203.77,Card,SBI,bank_server_down,17,1,1,0
txn_00348,645.39,UPI,Kotak,network_error,3,1,0,1
txn_00349,377.02,Card,Yes Bank,card_declined,14,1,0,0
txn_00350,1238.4,UPI,HDFC,network_error,11,1,2,0
txn_00351,459.62,UPI,Axis,network_error,5,1,0,1
txn_00352,1397.0,UPI,PNB,insufficient_funds,18,1,2,1
txn_00353,802.25,UPI,SBI,insufficient_funds,14,1,3,0
txn_00354,2134.11,UPI,Axis,otp_timeout,7,0,2,0
txn_00355,542.15,UPI,Yes Bank,otp_timeout,22,0,0,1
txn_00356,441.44,Card,Yes Bank,insufficient_funds,15,1,0,1
txn_00357,315.11,UPI,Yes Bank,insufficient_funds,2,1,1,1
txn_00358,1373.47,UPI,PNB,insufficient_funds,0,0,0,1
txn_00359,1114.52,Netbanking,HDFC,insufficient_funds,0,1,1,0
txn_00360,128.99,UPI,Yes Bank,bank_server_down,5,0,1,0
txn_00361,129.99,Card,ICICI,card_declined,18,1,0,1
txn_00362,556.01,UPI,ICICI,network_error,1,1,1,1
txn_00363,722.35,Netbanking,SBI,insufficient_funds,13,0,0,0
txn_00364,151.82,Card,PNB,card_declined,12,1,0,1
txn_00365,860.71,UPI,HDFC,insufficient_funds,22,1,0,1
txn_00366,53.33,Card,Axis,bank_server_down,13,1,2,0
txn_00367,4026.52,UPI,Kotak,insufficient_funds,22,1,0,0
txn_00368,355.6,Netbanking,ICICI,insufficient_funds,21,1,0,1
txn_00369,675.45,UPI,Kotak,network_error,10,1,0,1
txn_00370,567.03,Netbanking,Axis,session_timeout,16,0,2,0
txn_00371,1711.24,UPI,PNB,bank_server_down,0,1,2,0
txn_00372,562.0,UPI,Kotak,otp_timeout,23,1,3,1
txn_00373,811.99,UPI,Kotak,network_error,18,1,3,0
txn_00374,618.3,UPI,PNB,network_error,15,0,0,1
txn_00375,2021.75,UPI,HDFC,otp_timeout,17,1,0,1
txn_00376,1536.88,UPI,Yes Bank,insufficient_funds,3,1,1,0
txn_00377,2457.44,UPI,PNB,network_error,17,1,3,0
txn_00378,296.43,Card,Yes Bank,insufficient_funds,10,0,0,0
txn_00379,776.13,UPI,Axis,insufficient_funds,20,1,0,1
txn_00380,534.84,Netbanking,HDFC,session_timeout,14,0,2,0
txn_00381,47.52,Card,HDFC,bank_server_down,5,1,0,0
txn_00382,838.53,UPI,Axis,bank_server_down,9,1,2,0
txn_00383,1993.89,UPI,Kotak,otp_timeout,0,1,0,1
txn_00384,784.28,Card,SBI,card_declined,14,1,1,1
txn_00385,699.87,Card,Kotak,insufficient_funds,3,1,1,1
txn_00386,790.44,Card,Kotak,otp_timeout,3,1,2,0
txn_00387,427.21,Wallet,ICICI,insufficient_funds,14,1,1,0
txn_00388,213.33,Card,PNB,insufficient_funds,12,1,1,0
txn_00389,259.98,Card,SBI,card_declined,16,1,0,0
txn_00390,2027.41,UPI,PNB,otp_timeout,17,0,1,1
txn_00391,2026.26,UPI,ICICI,bank_server_down,1,0,1,0
txn_00392,555.36,UPI,Yes Bank,bank_server_down,9,0,0,0
txn_00393,2625.03,Netbanking,Axis,bank_server_down,10,1,0,1
txn_00394,310.54,UPI,PNB,network_error,3,1,3,1
txn_00395,906.76,Wallet,HDFC,network_error,10,1,2,0
txn_00396,292.24,UPI,ICICI,bank_server_down,16,1,1,1
txn_00397,2482.34,Card,Kotak,insufficient_funds,7,1,0,0
txn_00398,903.26,UPI,HDFC,insufficient_funds,4,0,0,1
txn_00399,1909.63,UPI,SBI,otp_timeout,23,1,0,1
txn_00400,380.97,Netbanking,Yes Bank,bank_server_down,11,1,0,0
txn_00401,154.96,UPI,SBI,bank_server_down,18,1,1,0
txn_00402,120.94,Card,Axis,card_declined,16,1,0,0
txn_00403,435.92,UPI,Axis,otp_timeout,17,1,2,0
txn_00404,297.68,UPI,SBI,insufficient_funds,0,0,2,0
txn_00405,1402.61,Wallet,Kotak,network_error,10,1,0,1
txn_00406,550.53,Netbanking,Kotak,insufficient_funds,3,1,2,0
txn_00407,1671.79,UPI,HDFC,network_error,18,1,0,1
